"YearStart","LocationAbbr","LocationDesc","Topic","Question","Stratification1","Lon","Lat"
2012,"NJ","New Jersey","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Overall",-74.2736912879997,40.1305700480005
2016,"KY","Kentucky","Cardiovascular Disease","Mortality from diseases of the heart","Asian or Pacific Islander",-84.7749710479997,37.6459702710005
2021,"FL","Florida","Tobacco","Amount of tobacco product excise tax","Overall",-81.9289605389997,28.9320403770005
2011,"NJ","New Jersey","Cancer","Cancer of the female breast, mortality","Overall",-74.2736912879997,40.1305700480005
2018,"KS","Kansas","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years","Male",-98.2007812269997,38.3477403000005
2015,"FL","Florida","Nutrition, Physical Activity, and Weight Status","No leisure-time physical activity among adults aged >= 18 years","Multiracial, non-Hispanic",-81.9289605389997,28.9320403770005
2012,"IL","Illinois","Oral Health","All teeth lost among adults aged >= 65 years","Multiracial, non-Hispanic",-88.9977101779997,40.4850102830005
2012,"WV","West Virginia","Cardiovascular Disease","Mortality from coronary heart disease","Black, non-Hispanic",-80.7126401349997,38.6655102020005
2020,"PA","Pennsylvania","Older Adults","Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services","Overall",-77.8607002939996,40.7937301520005
2010,"MN","Minnesota","Chronic Kidney Disease","Mortality with end-stage renal disease","Overall",-94.7942005029997,46.3556487360005
2018,"MO","Missouri","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years","Hispanic",-92.5663000529997,38.6357907760005
2013,"CT","Connecticut","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years","Other, non-Hispanic",-72.6498409519996,41.5626610200005
2014,"ND","North Dakota","Cancer","Melanoma, mortality","White, non-Hispanic",-100.118421049,47.4753197790005
2015,"CT","Connecticut","Cancer","Melanoma, mortality","Overall",-72.6498409519996,41.5626610200005
2014,"MI","Michigan","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Female",-84.7143902699997,44.6613195430005
2015,"NH","New Hampshire","Chronic Obstructive Pulmonary Disease","Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Hispanic",-71.5003609199997,43.6559501130005
2016,"AZ","Arizona","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years","Overall",-111.763811277,34.8659702800005
2012,"AK","Alaska","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Overall",-147.722059036,64.8450799570005
2012,"MN","Minnesota","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Black, non-Hispanic",-94.7942005029997,46.3556487360005
2015,"NY","New York","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years","Other, non-Hispanic",-75.5439704269996,42.8270010320005
2019,"KY","Kentucky","Arthritis","Arthritis among adults aged >= 18 years who have diabetes","Hispanic",-84.7749710479997,37.6459702710005
2015,"MT","Montana","Cancer","Cancer of the female cervix, mortality","Male",-109.424420645,47.0665289720005
2013,"HI","Hawaii","Alcohol","Alcohol use among youth","White, non-Hispanic",-157.857749403,21.3048504350004
2012,"TN","Tennessee","Cardiovascular Disease","Mortality from coronary heart disease","Overall",-85.7744909139997,35.6809405800005
2020,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Black, non-Hispanic",-75.5777411679996,39.0088306670005
2009,"OR","Oregon","Cancer","Cancer of the oral cavity and pharynx, mortality","White, non-Hispanic",-120.155031326,44.5674494240005
2016,"AR","Arkansas","Asthma","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma","Overall",-92.2744907429997,34.7486501240004
2013,"MS","Mississippi","Cancer","Cancer of the oral cavity and pharynx, mortality","Female",-89.5380308249997,32.7455100990005
2012,"IN","Indiana","Cardiovascular Disease","Mortality from diseases of the heart","Black, non-Hispanic",-86.1499601939997,39.7669104520004
2016,"CA","California","Chronic Obstructive Pulmonary Disease","Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease","Male",-120.999999538,37.6386401230005
2018,"MI","Michigan","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis","Black, non-Hispanic",-84.7143902699997,44.6613195430005
2013,"NV","Nevada","Asthma","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma","Hispanic",-117.071840564,39.4932403900005
2019,"CO","Colorado","Tobacco","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke","Hispanic",-106.133610921,38.8438407570005
2020,"LA","Louisiana","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Hispanic",-92.4456800709997,31.3126606440005
2019,"HI","Hawaii","Alcohol","Heavy drinking among adults aged >= 18 years","Multiracial, non-Hispanic",-157.857749403,21.3048504350004
2017,"CT","Connecticut","Overarching Conditions","Current lack of health insurance among adults aged 18-64 years","White, non-Hispanic",-72.6498409519996,41.5626610200005
2011,"SD","South Dakota","Cancer","Cancer of the lung and bronchus, incidence","Hispanic",-100.373530637,44.3531300530005
2016,"CA","California","Chronic Kidney Disease","Incidence of treated end-stage renal disease","Overall",-120.999999538,37.6386401230005
2013,"ME","Maine","Cancer","Invasive melanoma, incidence","White, non-Hispanic",-68.9850313359996,45.2542288940005
2019,"NE","Nebraska","Reproductive Health","Folic acid supplementation","Black, non-Hispanic",-99.3657206229997,41.6410409880005
2017,"NH","New Hampshire","Overarching Conditions","Premature mortality among adults aged 45-64 years","Black, non-Hispanic",-71.5003609199997,43.6559501130005
2010,"IA","Iowa","Cardiovascular Disease","Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years","Asian or Pacific Islander",-93.8164905559997,42.4694009130005
2021,"KY","Kentucky","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Hispanic",-84.7749710479997,37.6459702710005
2011,"TN","Tennessee","Cardiovascular Disease","Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years","American Indian or Alaska Native",-85.7744909139997,35.6809405800005
2018,"MN","Minnesota","Oral Health","No tooth loss among adults aged 18-64 years","White, non-Hispanic",-94.7942005029997,46.3556487360005
2017,"UT","Utah","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis","Asian or Pacific Islander",-111.587130635,39.3607001710005
2020,"NH","New Hampshire","Chronic Kidney Disease","Prevalence of chronic kidney disease among adults aged >= 18 years","Female",-71.5003609199997,43.6559501130005
2019,"LA","Louisiana","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Male",-92.4456800709997,31.3126606440005
2013,"GU","Guam","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years","Female",144.793731,13.444304
2015,"ID","Idaho","Tobacco","Quit attempts in the past year among current smokers","Hispanic",-114.363730042,43.6826300050005
2016,"LA","Louisiana","Nutrition, Physical Activity, and Weight Status","Obesity among adults aged >= 18 years","Black, non-Hispanic",-92.4456800709997,31.3126606440005
2011,"OK","Oklahoma","Cardiovascular Disease","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease","Female",-97.5210702139997,35.4720313560005
2010,"NC","North Carolina","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis","Overall",-79.1592504629996,35.4662209750005
2020,"OK","Oklahoma","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Hispanic",-97.5210702139997,35.4720313560005
2013,"OR","Oregon","Cancer","Cancer of the lung and bronchus, mortality","Overall",-120.155031326,44.5674494240005
2019,"SC","South Carolina","Alcohol","Binge drinking prevalence among adults aged >= 18 years","Black, non-Hispanic",-81.0453712069997,33.9988213030005
2015,"VT","Vermont","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis","Asian or Pacific Islander",-72.5176407909996,43.6253812390005
2013,"WY","Wyoming","Cancer","Cancer of the prostate, mortality","Overall",-108.109830353,43.2355413430005
2018,"IL","Illinois","Tobacco","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke","Hispanic",-88.9977101779997,40.4850102830005
2019,"CA","California","Arthritis","Fair or poor health among adults aged >= 18 years with arthritis","Multiracial, non-Hispanic",-120.999999538,37.6386401230005
2020,"ID","Idaho","Asthma","Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma","Black, non-Hispanic",-114.363730042,43.6826300050005
2018,"NV","Nevada","Tobacco","Current smoking among adults aged >= 18 years","Female",-117.071840564,39.4932403900005
2019,"MS","Mississippi","Asthma","Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma","Male",-89.5380308249997,32.7455100990005
2014,"HI","Hawaii","Cardiovascular Disease","Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke","Overall",-157.857749403,21.3048504350004
2013,"PR","Puerto Rico","Alcohol","Binge drinking frequency among adults aged >= 18 years who binge drink","Female",-66.590149,18.220833
2013,"CA","California","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis","Overall",-120.999999538,37.6386401230005
2014,"OK","Oklahoma","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis","Asian or Pacific Islander",-97.5210702139997,35.4720313560005
2016,"NE","Nebraska","Asthma","Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma","Overall",-99.3657206229997,41.6410409880005
2011,"AZ","Arizona","Cancer","Cancer of the female breast, mortality","Asian or Pacific Islander",-111.763811277,34.8659702800005
2010,"LA","Louisiana","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Asian or Pacific Islander",-92.4456800709997,31.3126606440005
2011,"HI","Hawaii","Disability","Disability among adults aged >= 65 years","Female",-157.857749403,21.3048504350004
2017,"IA","Iowa","Cardiovascular Disease","Mortality from total cardiovascular diseases","Hispanic",-93.8164905559997,42.4694009130005
2018,"OK","Oklahoma","Asthma","Current asthma prevalence among adults aged >= 18 years","Multiracial, non-Hispanic",-97.5210702139997,35.4720313560005
2013,"AZ","Arizona","Chronic Obstructive Pulmonary Disease","Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Hispanic",-111.763811277,34.8659702800005
2020,"OR","Oregon","Chronic Obstructive Pulmonary Disease","Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease","Overall",-120.155031326,44.5674494240005
2008,"DC","District of Columbia","Cancer","Cancer of the lung and bronchus, mortality","Female",-77.036871,38.907192
2012,"ND","North Dakota","Overarching Conditions","Prevalence of sufficient sleep among adults aged >= 18 years","White, non-Hispanic",-100.118421049,47.4753197790005
2015,"UT","Utah","Diabetes","Hospitalization with diabetes as a listed diagnosis","Overall",-111.587130635,39.3607001710005
2014,"WI","Wisconsin","Cardiovascular Disease","Mortality from heart failure","Hispanic",-89.8163707419997,44.3931911740005
2009,"WY","Wyoming","Cancer","Cancer of the prostate, mortality","Female",-108.109830353,43.2355413430005
2018,"IN","Indiana","Chronic Kidney Disease","Incidence of treated end-stage renal disease","Overall",-86.1499601939997,39.7669104520004
2020,"NC","North Carolina","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years","Female",-79.1592504629996,35.4662209750005
2015,"NV","Nevada","Cancer","Invasive cancer (all sites combined), mortality","Female",-117.071840564,39.4932403900005
2017,"AL","Alabama","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis","Male",-86.6318607619997,32.8405711220005
2012,"WV","West Virginia","Reproductive Health","Postpartum checkup","White, non-Hispanic",-80.7126401349997,38.6655102020005
2012,"MN","Minnesota","Arthritis","Physical inactivity among adults aged >= 18 years with arthritis","Overall",-94.7942005029997,46.3556487360005
2021,"NE","Nebraska","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Overall",-99.3657206229997,41.6410409880005
2017,"NE","Nebraska","Chronic Obstructive Pulmonary Disease","Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Black, non-Hispanic",-99.3657206229997,41.6410409880005
2011,"DE","Delaware","Alcohol","Binge drinking prevalence among adults aged >= 18 years","White, non-Hispanic",-75.5777411679996,39.0088306670005
2019,"CO","Colorado","Cardiovascular Disease","Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke","Female",-106.133610921,38.8438407570005
2015,"AR","Arkansas","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis","American Indian or Alaska Native",-92.2744907429997,34.7486501240004
2011,"KY","Kentucky","Nutrition, Physical Activity, and Weight Status","No leisure-time physical activity among adults aged >= 18 years","Hispanic",-84.7749710479997,37.6459702710005
2013,"MS","Mississippi","Chronic Kidney Disease","Mortality with end-stage renal disease","Female",-89.5380308249997,32.7455100990005
2018,"AZ","Arizona","Diabetes","Amputation of a lower extremity attributable to diabetes","Black, non-Hispanic",-111.763811277,34.8659702800005
2015,"NV","Nevada","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years","Hispanic",-117.071840564,39.4932403900005
2019,"AZ","Arizona","Asthma","Asthma mortality rate","Female",-111.763811277,34.8659702800005
2010,"CO","Colorado","Cancer","Invasive melanoma, incidence","Female",-106.133610921,38.8438407570005
2015,"PR","Puerto Rico","Asthma","Hospitalizations for asthma","Hispanic",-66.590149,18.220833
2013,"AR","Arkansas","Cancer","Cancer of the colon and rectum (colorectal), incidence","Hispanic",-92.2744907429997,34.7486501240004
2016,"NH","New Hampshire","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years","White, non-Hispanic",-71.5003609199997,43.6559501130005
2019,"MS","Mississippi","Tobacco","Quit attempts in the past year among current smokers","Other, non-Hispanic",-89.5380308249997,32.7455100990005
2013,"HI","Hawaii","Cancer","Melanoma, mortality","White, non-Hispanic",-157.857749403,21.3048504350004
2014,"MI","Michigan","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis","Male",-84.7143902699997,44.6613195430005
2015,"ME","Maine","Cancer","Invasive cancer of the prostate, incidence","Hispanic",-68.9850313359996,45.2542288940005
2014,"NJ","New Jersey","Cancer","Invasive cancer of the female breast, incidence","Overall",-74.2736912879997,40.1305700480005
2017,"PR","Puerto Rico","Cardiovascular Disease","Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke","Male",-66.590149,18.220833
2014,"CO","Colorado","Diabetes","Mortality due to diabetes reported as any listed cause of death","Hispanic",-106.133610921,38.8438407570005
2016,"SC","South Carolina","Chronic Kidney Disease","Prevalence of chronic kidney disease among adults aged >= 18 years","Multiracial, non-Hispanic",-81.0453712069997,33.9988213030005
2012,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Hispanic",-109.424420645,47.0665289720005
2019,"KY","Kentucky","Nutrition, Physical Activity, and Weight Status","Soda consumption among high school students","Hispanic",-84.7749710479997,37.6459702710005
2013,"NH","New Hampshire","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Hispanic",-71.5003609199997,43.6559501130005
2017,"GA","Georgia","Overarching Conditions","Current lack of health insurance among adults aged 18-64 years","White, non-Hispanic",-83.6275803459997,32.8396810930005
2011,"OR","Oregon","Cancer","Melanoma, mortality","Black, non-Hispanic",-120.155031326,44.5674494240005
2011,"NY","New York","Cancer","Invasive melanoma, incidence","Female",-75.5439704269996,42.8270010320005
2016,"DC","District of Columbia","Tobacco","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke","Overall",-77.036871,38.907192
2016,"WA","Washington","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis","American Indian or Alaska Native",-120.47001079,47.5222786290005
2017,"NC","North Carolina","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Overall",-79.1592504629996,35.4662209750005
2018,"ND","North Dakota","Overarching Conditions","Prevalence of sufficient sleep among adults aged >= 18 years","Black, non-Hispanic",-100.118421049,47.4753197790005
2018,"NM","New Mexico","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","Black, non-Hispanic",-106.240580985,34.5208809520005
2013,"IA","Iowa","Cancer","Cancer of the lung and bronchus, incidence","Asian or Pacific Islander",-93.8164905559997,42.4694009130005
2011,"KS","Kansas","Cancer","Cancer of the lung and bronchus, incidence","Female",-98.2007812269997,38.3477403000005
2019,"MT","Montana","Nutrition, Physical Activity, and Weight Status","Healthy weight among high school students","Male",-109.424420645,47.0665289720005
2012,"NV","Nevada","Arthritis","Arthritis among adults aged >= 18 years who are obese","White, non-Hispanic",-117.071840564,39.4932403900005
2013,"CO","Colorado","Asthma","Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma","Overall",-106.133610921,38.8438407570005
2015,"NH","New Hampshire","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Hispanic",-71.5003609199997,43.6559501130005
2012,"NE","Nebraska","Chronic Obstructive Pulmonary Disease","Prevalence of chronic obstructive pulmonary disease among adults >= 18","Overall",-99.3657206229997,41.6410409880005
2008,"AK","Alaska","Cancer","Invasive cancer of the cervix, incidence","American Indian or Alaska Native",-147.722059036,64.8450799570005
2011,"CT","Connecticut","Older Adults","Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years","Black, non-Hispanic",-72.6498409519996,41.5626610200005
2012,"NM","New Mexico","Oral Health","All teeth lost among adults aged >= 65 years","Female",-106.240580985,34.5208809520005
2019,"PA","Pennsylvania","Cardiovascular Disease","Mortality from coronary heart disease","Hispanic",-77.8607002939996,40.7937301520005
2020,"MN","Minnesota","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","White, non-Hispanic",-94.7942005029997,46.3556487360005
2011,"CA","California","Asthma","Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma","White, non-Hispanic",-120.999999538,37.6386401230005
2015,"GA","Georgia","Tobacco","Current cigarette smoking among women aged 18-44 years","Other, non-Hispanic",-83.6275803459997,32.8396810930005
2018,"WV","West Virginia","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis","Asian or Pacific Islander",-80.7126401349997,38.6655102020005
2013,"WI","Wisconsin","Diabetes","Hospitalization with diabetes as a listed diagnosis","Female",-89.8163707419997,44.3931911740005
2012,"GA","Georgia","Alcohol","Chronic liver disease mortality","White, non-Hispanic",-83.6275803459997,32.8396810930005
2018,"LA","Louisiana","Asthma","Current asthma prevalence among adults aged >= 18 years","Black, non-Hispanic",-92.4456800709997,31.3126606440005
2010,"MD","Maryland","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Asian or Pacific Islander",-76.6092601109996,39.2905809640005
2017,"SC","South Carolina","Diabetes","Hospitalization with diabetes as a listed diagnosis","White, non-Hispanic",-81.0453712069997,33.9988213030005
2021,"PA","Pennsylvania","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Black, non-Hispanic",-77.8607002939996,40.7937301520005
2017,"TN","Tennessee","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years","White, non-Hispanic",-85.7744909139997,35.6809405800005
2011,"PA","Pennsylvania","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","White, non-Hispanic",-77.8607002939996,40.7937301520005
2015,"NJ","New Jersey","Alcohol","Binge drinking prevalence among women aged 18-44 years","Other, non-Hispanic",-74.2736912879997,40.1305700480005
2012,"OR","Oregon","Cardiovascular Disease","Mortality from diseases of the heart","Black, non-Hispanic",-120.155031326,44.5674494240005
2012,"WV","West Virginia","Chronic Kidney Disease","Mortality with end-stage renal disease","Black, non-Hispanic",-80.7126401349997,38.6655102020005
2015,"MA","Massachusetts","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis","Hispanic",-72.0826906749996,42.2768704700005
2020,"KS","Kansas","Diabetes","Dilated eye examination among adults aged >= 18 years with diagnosed diabetes","White, non-Hispanic",-98.2007812269997,38.3477403000005
2015,"MD","Maryland","Chronic Obstructive Pulmonary Disease","Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease","Black, non-Hispanic",-76.6092601109996,39.2905809640005
2019,"CO","Colorado","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Asian or Pacific Islander",-106.133610921,38.8438407570005
2010,"FL","Florida","Overarching Conditions","Poverty","Male",-81.9289605389997,28.9320403770005
2017,"OH","Ohio","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","Female",-82.4042600559997,40.0602101410005
2010,"FL","Florida","Cancer","Melanoma, mortality","American Indian or Alaska Native",-81.9289605389997,28.9320403770005
2015,"NV","Nevada","Asthma","Current asthma prevalence among adults aged >= 18 years","Overall",-117.071840564,39.4932403900005
2008,"MT","Montana","Cancer","Cancer of the lung and bronchus, incidence","Black, non-Hispanic",-109.424420645,47.0665289720005
2017,"AK","Alaska","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Overall",-147.722059036,64.8450799570005
2013,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Male",-71.5224703139996,41.7082801930005
2014,"AR","Arkansas","Alcohol","Binge drinking frequency among adults aged >= 18 years who binge drink","Male",-92.2744907429997,34.7486501240004
2020,"CA","California","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Hispanic",-120.999999538,37.6386401230005
2012,"PA","Pennsylvania","Asthma","Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma","Overall",-77.8607002939996,40.7937301520005
2012,"NC","North Carolina","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Female",-79.1592504629996,35.4662209750005
2014,"HI","Hawaii","Cardiovascular Disease","Mortality from diseases of the heart","Asian or Pacific Islander",-157.857749403,21.3048504350004
2012,"AK","Alaska","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Female",-147.722059036,64.8450799570005
2018,"KS","Kansas","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","Other, non-Hispanic",-98.2007812269997,38.3477403000005
2011,"CO","Colorado","Arthritis","Physical inactivity among adults aged >= 18 years with arthritis","Multiracial, non-Hispanic",-106.133610921,38.8438407570005
2010,"SC","South Carolina","Cancer","Cancer of the colon and rectum (colorectal), incidence","White, non-Hispanic",-81.0453712069997,33.9988213030005
2013,"MS","Mississippi","Cancer","Cancer of the colon and rectum (colorectal), mortality","White, non-Hispanic",-89.5380308249997,32.7455100990005
2012,"CT","Connecticut","Cancer","Invasive cancer of the cervix, incidence","Female",-72.6498409519996,41.5626610200005
2017,"MD","Maryland","Diabetes","Dilated eye examination among adults aged >= 18 years with diagnosed diabetes","White, non-Hispanic",-76.6092601109996,39.2905809640005
2012,"MT","Montana","Chronic Kidney Disease","Mortality with end-stage renal disease","Black, non-Hispanic",-109.424420645,47.0665289720005
2014,"WV","West Virginia","Cardiovascular Disease","Mortality from coronary heart disease","Hispanic",-80.7126401349997,38.6655102020005
2014,"NM","New Mexico","Diabetes","Amputation of a lower extremity attributable to diabetes","White, non-Hispanic",-106.240580985,34.5208809520005
2019,"MT","Montana","Chronic Kidney Disease","Mortality with end-stage renal disease","Male",-109.424420645,47.0665289720005
2019,"AZ","Arizona","Arthritis","Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis","Male",-111.763811277,34.8659702800005
2016,"ID","Idaho","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","American Indian or Alaska Native",-114.363730042,43.6826300050005
2021,"OH","Ohio","Arthritis","Fair or poor health among adults aged >= 18 years with arthritis","White, non-Hispanic",-82.4042600559997,40.0602101410005
